amount,tags
1, Tags = ['RemoveDepends'| 'RemoveFeature'| 'addAsset'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'Addedbuild'| 'ModifyDepends'| 'NewDefault'| 'NewDepends'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'Modifybuild'| 'NewSelect'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedFeature'| 'Addedbuild'| 'ModifyFeature'| 'Modifybuild'| 'NewDepends'| 'RemoveDefault'| 'RemoveDepends'| 'RemoveFeature'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'ModifyDepends'| 'Modifybuild'| 'NewSelect'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedFeature'| 'Addedbuild'| 'NewDepends'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'addAsset'| 'changeAsset']
1, Tags = ['ModifyDefault'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['AddedDefault'| 'AddedFeature'| 'NewDefault'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'ModifyDepends'| 'NewDefault'| 'RemoveSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDefault'| 'AddedFeature'| 'Addedbuild'| 'Addedifdef'| 'RemoveDefault'| 'RemoveFeature'| 'addAsset'| 'removeAsset']
1, Tags = ['RemoveDefault'| 'RemoveFeature'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['AddedDefault'| 'AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'ModifySelect'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedSelect'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['AddedDefault'| 'AddedFeature'| 'Addedbuild'| 'Addedifdef'| 'RemoveDefault'| 'RemoveFeature'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedFeature'| 'Addedbuild'| 'Modifybuild'| 'NewDepends'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDefault'| 'AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'ModifyDepends'| 'NewDefault'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'NewDefault'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDefault'| 'AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'Modifybuild'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'Removebuild'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedDepends'| 'AddedSelect'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'Addedbuild'| 'ModifyDepends'| 'ModifyFeature'| 'Modifybuild'| 'NewDefault'| 'RemoveDepends'| 'RemoveSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedMapping'| 'Addedbuild'| 'ModifyMapping'| 'changeAsset'| 'no-fm-tag-changed']
1, Tags = ['AddedFeature'| 'Addedbuild'| 'Addedifdef'| 'ModifyDefault'| 'ModifyFeature'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'ModifyMapping'| 'NewSelect'| 'changeAsset']
1, Tags = ['Modifybuild'| 'Modifyifdef'| 'Removebuild'| 'Removeifdef'| 'changeAsset'| 'no-fm-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedMenu'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'ModifyDefault'| 'ModifyDepends'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'RemoveDefault'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['ModifyDefault'| 'RemoveDefault'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['ModifyDefault'| 'RemoveDefault'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['Addedbuild'| 'Modifybuild'| 'NewDepends'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedMenu'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'ModifyDefault'| 'ModifyDepends'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'Modifyifdef'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'RemoveDefault'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'Removebuild'| 'Removeifdef'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedSelect'| 'Addedbuild'| 'Modifybuild'| 'Modifyifdef'| 'NewDepends'| 'Removebuild'| 'Removeifdef'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedDepends'| 'RemoveSelect'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['AddedDepends'| 'ModifyMapping'| 'Modifybuild'| 'Removebuild'| 'changeAsset']
1, Tags = ['AddedMapping'| 'ModifyFeature'| 'ModifyMapping'| 'RemoveSelect'| 'no-am-tag-changed']
1, Tags = ['AddedFeature'| 'AddedSelect'| 'NewDepends'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedSelect'| 'Addedbuild'| 'ModifyMapping'| 'Modifybuild'| 'NewDepends'| 'NewSelect'| 'RemoveSelect'| 'Removebuild'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedMapping'| 'ModifyFeature'| 'ModifyMapping'| 'RemoveSelect'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'ModifyDepends'| 'NewSelect'| 'no-am-tag-changed']
