amount,tags
1, Tags = ['AddedDepends'| 'AddedFeature'| 'Addedbuild'| 'Addedifdef'| 'ModifyDefault'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'ModifyDefault'| 'ModifyDepends'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'Removebuild'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedDefault'| 'AddedDepends'| 'AddedFeature'| 'AddedSelect'| 'ModifyDepends'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['RemoveDepends'| 'RemoveSelect'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'Addedbuild'| 'ModifyDepends'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDepends'| 'ModifyDepends'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['AddedSelect'| 'RemoveDefault'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['ModifySelect'| 'RemoveFeature'| 'RemoveSelect'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'NewDepends'| 'NewSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'ModifyDefault'| 'ModifyDepends'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'Removebuild'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'Removebuild'| 'no-am-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'Addedbuild'| 'no-am-tag-changed']
1, Tags = ['RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'Removebuild'| 'changeAsset']
1, Tags = ['Addedbuild'| 'Addedifdef'| 'ModifyFeature'| 'no-am-tag-changed']
1, Tags = ['ModifyFeature'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'no-am-tag-changed']
1, Tags = ['Modifybuild'| 'Modifyifdef'| 'changeAsset'| 'no-fm-tag-changed']
1, Tags = ['Modifybuild'| 'Modifyifdef'| 'Removebuild'| 'no-am-tag-changed'| 'no-fm-tag-changed']
1, Tags = ['Addedbuild'| 'Addedifdef'| 'Modifybuild'| 'Modifyifdef'| 'no-am-tag-changed'| 'no-fm-tag-changed']
1, Tags = ['Addedbuild'| 'Modifyifdef'| 'Removeifdef'| 'addAsset'| 'no-fm-tag-changed']
1, Tags = ['Modifybuild'| 'Modifyifdef'| 'no-am-tag-changed'| 'no-fm-tag-changed']
1, Tags = ['Removebuild'| 'Removeifdef'| 'changeAsset'| 'no-fm-tag-changed'| 'removeAsset']
1, Tags = ['Addedbuild'| 'Addedifdef'| 'Modifybuild'| 'Removebuild'| 'Removeifdef'| 'no-am-tag-changed'| 'no-fm-tag-changed']
1, Tags = ['Addedbuild'| 'Modifybuild'| 'Modifyifdef'| 'Removebuild'| 'Removeifdef'| 'addAsset'| 'no-fm-tag-changed']
1, Tags = ['Removebuild'| 'Removeifdef'| 'changeAsset'| 'no-fm-tag-changed']
1, Tags = ['ModifyMapping'| 'Modifybuild'| 'addAsset'| 'changeAsset'| 'no-fm-tag-changed']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'Addedbuild'| 'changeAsset']
1, Tags = ['AddedFeature'| 'AddedSelect'| 'NewDepends'| 'NewSelect'| 'addAsset'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['Modifybuild'| 'RemoveFeature'| 'RemoveSelect'| 'Removebuild'| 'no-am-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMenu'| 'AddedSelect'| 'Addedbuild'| 'ModifyDefault'| 'ModifyDepends'| 'NewDepends'| 'NewSelect'| 'RemoveMapping'| 'Removebuild'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['Addedbuild'| 'Addedifdef'| 'Modifybuild'| 'Removebuild'| 'changeAsset'| 'no-fm-tag-changed']
1, Tags = ['Addedbuild'| 'Modifybuild'| 'Modifyifdef'| 'no-am-tag-changed'| 'no-fm-tag-changed']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'ModifyMapping'| 'NewDepends'| 'no-am-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'ModifyDepends'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'Addedbuild'| 'Addedifdef'| 'Modifybuild'| 'changeAsset']
1, Tags = ['AddedSelect'| 'Modifybuild'| 'addAsset'| 'changeAsset']
